order_id,order_date,customer_id,country,brand,model,price,quantity,discount,payment_method,rating,returned
ORD-102299,2024-01-14,CUST-35686,USA,Google,Pixel 8 Pro,1143.62,2.0,0.295,Credit Card,4.1,True
ORD-103771,06-12-2024,CUST-71869,USA,XIAOMI,Xiaomi 14,321.57,1.0,0.085,COD,5.0,False
ORD-100033,,CUST-66700,Brazil,google,Pixel 8,1343.59,4.0,0.037,UPI,,False
ORD-101244,2024-06-20,CUST-88663,India,Google,Pixel 7a,0.0,2.0,0.005,COD,3.6,1
ORD-103050,07/02/2022,CUST-49643,U.S.A,Google,Pixel 8,1234.47,2.0,0.374,UPI,2.3,True
ORD-102240,12/18/2023,CUST-85246,USA,Sony,Xperia 5 V,1091.61,2.0,0.011,PayPal,,yes
ORD-104137,21-07-2023,CUST-99721,Canada,oneplus,OnePlus 11,1097.97,2.0,0.372,Debit Card,3.9,yes
ORD-104078,13-08-2022,CUST-47786,Japan,OnePlus,OnePlus 11,244.38,1.0,0.342,Bank Transfer,2.3,True
ORD-102440,2022-04-01,CUST-23400,india ,APPLE,iPhone 14,695.75,2.0,0.372,PayPal,4.3,True
ORD-101912,27-07-2022,CUST-74296,Brazil,Apple,iPhone 15,,1.0,0.304,PayPal,3.0,1
ORD-104292,10-05-2022,CUST-53106,Germany,Apple,iPhone 15 Pro,513.89,1.0,0.382,Debit Card,1.4,True
ORD-103978,2023-11-23,CUST-51163,Canada,Xiaomi,Redmi Note 13,429.25,5.0,0.034,UPI,5.5,True
ORD-100497,03-06-2023,CUST-85524,Canada,XIAOMI,Redmi Note 13,521.42,1.0,0.322,PayPal,4.4,True
ORD-102699,01/30/2022,CUST-24608,Brazil,ONEPLUS,OnePlus Nord 3,1366.19,5.0,0.263,PayPal,4.9,yes
ORD-104989,2022-04-04,CUST-95935,India,Samsung,Galaxy Z Fold 5,305.85,4.0,0.221,Bank Transfer,4.2,
ORD-104517,07/10/2022,CUST-88664,UK,oneplus,OnePlus 11,218.43,1.0,0.238,UPI,4.6,True
ORD-101451,11/06/2023,CUST-27110,Australia,Xiaomi,Redmi 12,1115.73,3.0,0.001,UPI,3.8,no
ORD-102990,05/25/2022,CUST-40902,India,Google,Pixel 7a,538.12,4.0,0.117,Debit Card,2.2,True
ORD-102943,24-12-2022,CUST-35499,USA,Apple,iPhone SE,1338.15,1.0,,Bank Transfer,3.1,False
ORD-100927,04/17/2024,CUST-11020,Australia,Apple,iPhone 14,1046.63,5.0,0.033,COD,2.7,False
ORD-101323,2023-10-17,CUST-23718,UK,samsung,Galaxy S24,691.42,4.0,0.07,UPI,4.8,False
ORD-104894,2022-05-29,CUST-66976,Singapore,,iPhone SE,1036.57,5.0,0.236,UPI,3.7,False
ORD-102099,23-09-2023,CUST-22851,Singapore,Motorola,Moto G53,599.54,4.0,0.131,COD,3.5,0
ORD-100731,2023-11-08,CUST-25775,U.K.,Samsung,Galaxy A54,,999.0,0.359,UPI,4.3,False
ORD-100838,2024-08-13,CUST-93445,india ,,Galaxy Z Fold 5,480.07,3.0,0.245,Credit Card,2.3,1
ORD-102846,27-08-2022,CUST-20972,Singapore,Sony,Xperia 1 V,767.4,4.0,0.084,UPI,1.8,False
ORD-101992,18-11-2022,CUST-48112,U.K.,OnePlus,OnePlus Nord 3,1465.35,1.0,0.047,Debit Card,3.8,1
ORD-102900,19-07-2023,CUST-19763,Australia,SAMSUNG,Galaxy S24,957.82,5.0,0.095,PayPal,2.9,False
ORD-100626,,CUST-62011,France,xiaomi,POCO F5,754.95,5.0,0.113,Credit Card,4.2,
ORD-101541,2023-02-09,CUST-53681,france,Apple,iPhone 15 Pro,1223.37,1.0,0.382,PayPal,1.4,1
ORD-102509,2024-08-07,CUST-70103,Singapore,Sony,Xperia 1 V,1104.55,5.0,0.024,Bank Transfer,3.4,1
ORD-100538,21-05-2023,CUST-17341,USA,Apple,iPhone SE,265.92,4.0,,UPI,1.5,False
ORD-103690,30-07-2022,CUST-74628,Singapore,GOOGLE,Pixel 8,1147.3,5.0,0.07,COD,,False
ORD-102944,2022-08-27,CUST-22746,Australia,Samsung,Galaxy S24,1374.44,2.0,0.075,Debit Card,4.6,False
ORD-103817,05/14/2024,CUST-14069,Australia,OnePlus,OnePlus 11,1069.93,4.0,0.002,COD,3.4,False
ORD-103861,2024-11-09,CUST-11575,Canada,Google,Pixel 8,609.75,3.0,0.141,,2.4,False
ORD-103399,02/09/2023,CUST-50359,India,OnePlus,OnePlus 12,237.63,5.0,0.134,COD,1.7,False
